time_s,progress,txns,rate_tps,p50_ms,p90_ms,p99_ms,max_ms
1.000,1.385,277,276.973,29.212671,36.929535,62.095359,70.057983
2.000,2.715,543,271.474,29.360127,37.257215,64.978943,70.582271
3.000,4.015,803,267.648,29.556735,38.699007,67.043327,80.871423
4.000,5.335,1067,266.733,29.786111,37.879807,67.043327,80.871423
5.000,6.620,1324,264.783,29.917183,38.043647,67.043327,82.837503
6.000,7.940,1588,264.650,29.966335,38.109183,67.043327,82.837503
7.000,9.245,1849,264.125,30.031871,38.633471,66.846719,82.837503
8.001,10.560,2112,263.983,30.130175,38.633471,66.846719,82.837503
9.001,11.845,2369,263.205,30.212095,38.633471,67.174399,82.837503
10.001,13.125,2625,262.483,30.244863,38.666239,67.174399,82.837503
11.001,14.420,2884,262.164,30.277631,38.567935,67.371007,82.837503
12.001,15.750,3150,262.482,30.228479,38.731775,67.305471,82.837503
13.001,17.055,3411,262.366,30.228479,38.731775,67.043327,82.837503
14.001,18.395,3679,262.767,30.162943,38.699007,67.043327,82.837503
15.001,19.735,3947,263.114,30.064639,38.666239,66.945023,82.837503
16.001,21.025,4205,262.793,30.064639,38.862847,66.945023,82.837503
17.001,22.330,4466,262.686,30.031871,38.895615,67.043327,82.837503
18.001,23.600,4720,262.203,30.048255,38.862847,67.764223,82.837503
19.001,24.945,4989,262.560,29.982719,38.895615,67.371007,82.837503
20.001,26.300,5260,262.981,29.982719,38.731775,67.174399,82.837503
21.002,27.640,5528,263.219,29.966335,38.666239,67.305471,82.837503
22.002,28.965,5793,263.299,29.982719,38.502399,67.436543,82.837503
23.002,30.305,6061,263.503,29.933567,38.404095,67.698687,82.837503
24.002,31.635,6327,263.606,29.900799,38.436863,67.764223,82.837503
25.002,32.975,6595,263.781,29.868031,38.436863,67.698687,82.837503
26.002,34.290,6858,263.750,29.851647,38.469631,67.371007,82.837503
27.002,35.620,7124,263.833,29.835263,38.436863,67.698687,82.837503
28.002,36.865,7373,263.302,29.884415,38.666239,67.698687,82.837503
29.002,38.175,7635,263.257,29.884415,38.633471,67.698687,82.837503
30.002,39.515,7903,263.414,29.884415,38.502399,67.371007,82.837503
31.002,40.870,8174,263.658,29.884415,38.436863,67.305471,82.837503
32.002,42.175,8435,263.575,29.884415,38.404095,67.043327,82.837503
33.002,43.515,8703,263.708,29.868031,38.371327,67.043327,82.837503
34.002,44.860,8972,263.863,29.851647,38.404095,67.239935,82.837503
35.002,46.170,9234,263.810,29.868031,38.404095,67.239935,82.837503
36.003,47.495,9499,263.842,29.868031,38.371327,67.239935,82.837503
37.003,48.830,9766,263.927,29.851647,38.371327,67.174399,82.837503
38.003,50.180,10036,264.086,29.835263,38.305791,67.076095,82.837503
39.003,51.500,10300,264.083,29.835263,38.305791,67.043327,82.837503
40.003,52.845,10569,264.206,29.835263,38.240255,67.076095,82.837503
41.003,54.190,10838,264.322,29.818879,38.174719,67.043327,82.837503
42.003,55.530,11106,264.409,29.818879,38.109183,66.977791,82.837503
43.003,56.885,11377,264.562,29.802495,38.109183,66.945023,82.837503
44.003,58.215,11643,264.594,29.802495,38.109183,66.912255,82.837503
45.003,59.570,11914,264.736,29.786111,38.043647,66.879487,82.837503
46.003,60.925,12185,264.872,29.769727,38.043647,66.846719,82.837503
47.004,62.270,12454,264.959,29.769727,38.043647,66.846719,82.837503
48.004,63.600,12720,264.980,29.769727,38.043647,66.846719,85.983231
49.004,64.930,12986,265.001,29.769727,38.043647,66.912255,85.983231
50.004,66.250,13250,264.981,29.769727,38.076415,66.945023,85.983231
51.004,67.580,13516,265.000,29.736959,38.109183,66.945023,85.983231
52.004,68.935,13787,265.115,29.720575,38.141951,66.945023,85.983231
53.004,70.250,14050,265.075,29.720575,38.141951,66.879487,85.983231
54.004,71.445,14289,264.591,29.736959,38.371327,66.945023,85.983231
55.004,72.625,14525,264.071,29.736959,38.666239,66.945023,85.983231
56.004,73.715,14743,263.248,29.786111,39.026687,66.945023,85.983231
57.004,74.970,14994,263.033,29.786111,39.190527,67.043327,85.983231
58.004,76.040,15208,262.188,29.818879,39.452671,67.076095,85.983231
59.004,77.285,15457,261.964,29.835263,39.550975,67.108863,85.983231
60.004,78.595,15719,261.964,29.835263,39.550975,67.043327,85.983231
61.004,79.805,15961,261.637,29.868031,39.649279,67.076095,85.983231
62.005,81.130,16226,261.690,29.868031,39.649279,67.076095,85.983231
63.005,82.450,16490,261.727,29.868031,39.550975,67.108863,85.983231
64.005,83.750,16750,261.700,29.884415,39.550975,67.043327,85.983231
65.005,84.895,16979,261.196,29.900799,39.780351,67.436543,85.983231
66.005,86.150,17230,261.042,29.917183,39.813119,67.436543,85.983231
67.005,87.390,17478,260.846,29.933567,39.911423,67.436543,85.983231
68.005,88.630,17726,260.656,29.949951,39.944191,67.436543,85.983231
69.005,89.920,17984,260.618,29.966335,39.944191,67.436543,85.983231
70.005,91.250,18250,260.694,29.949951,39.944191,67.436543,85.983231
71.005,92.465,18493,260.445,29.982719,39.944191,67.436543,85.983231
72.005,93.750,18750,260.397,29.999103,39.944191,67.371007,85.983231
73.006,95.105,19021,260.542,29.982719,39.944191,67.371007,85.983231
74.006,96.465,19293,260.697,29.966335,39.911423,67.371007,85.983231
75.006,97.830,19566,260.860,29.949951,39.878655,67.371007,85.983231
76.006,99.225,19845,261.099,29.933567,39.780351,67.371007,85.983231
76.590,100.000,20000,261.130,29.933567,39.747583,67.305471,85.983231
