time_s,progress,txns,rate_tps,p50_ms,p90_ms,p99_ms,pmax_ms
1.000,2.700,27,26.996,155.582463,247.595007,274.464767,274.464767
2.000,5.300,53,26.498,159.383551,210.894847,274.464767,274.464767
3.000,7.800,78,25.998,159.383551,210.894847,274.464767,274.464767
4.000,10.300,103,25.748,160.301055,207.618047,251.658239,274.464767
5.000,12.800,128,25.598,160.694271,204.996607,251.658239,274.464767
6.001,15.300,153,25.498,160.956415,203.816959,274.464767,285.736959
7.001,17.800,178,25.426,160.694271,203.816959,274.464767,285.736959
8.001,20.100,201,25.123,160.956415,202.899455,259.391487,285.736959
9.001,22.700,227,25.220,160.694271,203.554815,259.391487,285.736959
10.001,25.200,252,25.198,160.825343,204.079103,259.391487,285.736959
11.001,27.700,277,25.180,160.694271,206.307327,259.391487,285.736959
12.001,30.200,302,25.165,160.694271,204.472319,251.658239,285.736959
13.001,32.700,327,25.152,160.825343,204.472319,251.658239,285.736959
14.001,35.200,352,25.141,160.694271,204.996607,251.658239,285.736959
15.001,37.700,377,25.131,160.694271,204.079103,251.658239,285.736959
16.001,40.200,402,25.123,160.694271,204.472319,251.658239,285.736959
17.001,42.700,427,25.116,160.694271,204.079103,251.658239,285.736959
18.001,45.200,452,25.109,160.694271,204.079103,251.658239,285.736959
19.002,47.700,477,25.103,160.694271,203.816959,251.658239,285.736959
20.002,50.300,503,25.148,160.694271,203.816959,249.561087,285.736959
21.002,52.800,528,25.141,160.432127,203.816959,249.561087,285.736959
22.002,55.300,553,25.134,160.432127,203.554815,249.561087,285.736959
23.002,57.800,578,25.128,160.301055,203.423743,249.561087,285.736959
24.002,60.300,603,25.123,160.301055,203.292671,248.381439,285.736959
25.002,62.900,629,25.158,160.301055,203.161599,248.381439,285.736959
26.002,65.400,654,25.152,160.301055,202.899455,248.381439,285.736959
27.002,67.900,679,25.146,160.432127,203.030527,248.381439,285.736959
28.002,70.300,703,25.105,160.432127,203.030527,249.561087,285.736959
29.002,72.900,729,25.136,160.301055,203.030527,251.658239,285.736959
30.002,75.400,754,25.131,160.301055,203.161599,251.658239,285.736959
31.002,77.900,779,25.127,160.432127,203.423743,251.658239,285.736959
32.002,80.300,803,25.092,160.694271,203.423743,249.561087,285.736959
33.003,82.800,828,25.089,160.694271,203.423743,249.561087,285.736959
34.003,85.300,853,25.086,160.694271,203.292671,249.561087,285.736959
35.003,87.800,878,25.084,160.694271,203.292671,249.561087,285.736959
36.003,90.400,904,25.109,160.563199,203.292671,248.381439,285.736959
37.003,92.900,929,25.106,160.432127,203.292671,248.381439,285.736959
38.003,95.500,955,25.130,160.432127,203.161599,248.381439,285.736959
39.003,97.900,979,25.101,160.432127,203.161599,248.381439,285.736959
39.951,100.000,1000,25.031,160.432127,202.899455,247.595007,285.736959
