time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
79.011,72.519,72519,917.838,16.539647,20.496383,51.150847,172.359679
80.011,73.395,73395,917.315,16.564223,20.496383,51.281919,172.359679
81.011,74.333,74333,917.568,16.588799,20.479999,51.085311,172.359679
82.011,75.080,75080,915.486,16.646143,20.496383,51.937279,172.359679
83.011,75.886,75886,914.165,16.637951,20.512767,52.985855,172.359679
84.012,76.767,76767,913.767,16.687103,20.496383,52.166655,172.359679
85.012,77.628,77628,913.146,16.687103,20.512767,53.116927,172.359679
86.012,78.566,78566,913.434,16.695295,20.512767,52.985855,172.359679
87.012,79.457,79457,913.176,16.703487,20.512767,52.166655,172.359679
88.012,80.380,80380,913.287,16.703487,20.529151,52.101119,172.359679
89.012,81.346,81346,913.878,16.678911,20.529151,51.478527,172.359679
90.012,82.320,82320,914.544,16.654335,20.529151,51.249151,249.954303
91.012,83.307,83307,915.339,16.572415,20.529151,51.281919,249.954303
92.012,84.442,84442,917.725,16.498687,20.512767,51.052543,249.954303
93.013,85.183,85183,915.823,16.515071,20.529151,52.985855,249.954303
94.013,85.766,85766,912.282,16.531455,20.561919,54.591487,249.954303
95.013,86.592,86592,911.372,16.572415,20.561919,54.591487,249.954303
96.013,87.507,87507,911.409,16.596991,20.561919,54.394879,249.954303
97.013,88.668,88668,913.981,16.498687,20.529151,53.870591,249.954303
98.013,89.764,89764,915.836,16.449535,20.529151,53.313535,249.954303
99.013,90.764,90764,916.684,16.433151,20.512767,53.018623,249.954303
100.014,91.393,91393,913.806,16.441343,20.529151,54.788095,249.954303
101.014,92.540,92540,916.114,16.359423,20.512767,54.689791,249.954303
102.014,93.732,93732,918.818,16.261119,20.496383,54.624255,249.954303
103.014,94.859,94859,920.839,16.187391,20.479999,54.394879,249.954303
104.014,96.009,96009,923.040,16.105471,20.463615,53.870591,249.954303
105.014,96.499,96499,918.915,16.130047,20.479999,56.229887,249.954303
106.014,97.449,97449,919.207,16.130047,20.496383,56.164351,249.954303
107.014,98.376,98376,919.278,16.138239,20.496383,55.607295,249.954303
108.015,99.311,99311,919.423,16.146431,20.512767,55.181311,249.954303
108.810,100.000,100000,919.037,16.146431,20.512767,55.607295,249.954303
