time_s,throughput_c4,throughput_c4_ci_lower,throughput_c4_ci_upper,throughput_c8,throughput_c8_ci_lower,throughput_c8_ci_upper,throughput_c16,throughput_c16_ci_lower,throughput_c16_ci_upper,throughput_c32,throughput_c32_ci_lower,throughput_c32_ci_upper,throughput_c64,throughput_c64_ci_lower,throughput_c64_ci_upper,txns_c4,txns_c4_ci_lower,txns_c4_ci_upper,txns_c8,txns_c8_ci_lower,txns_c8_ci_upper,txns_c16,txns_c16_ci_lower,txns_c16_ci_upper,txns_c32,txns_c32_ci_lower,txns_c32_ci_upper,txns_c64,txns_c64_ci_lower,txns_c64_ci_upper
17,652.161,630.783,673.539,1151.874,1132.720,1171.027,2692.772,1873.342,3512.203,3278.852,3101.316,3456.388,3019.175,2563.559,3474.791,11088.000,10724.608,11451.392,19583.800,19257.901,19909.699,45781.200,31849.852,59712.548,55745.400,52727.358,58763.442,51331.400,43582.351,59080.449
18,650.682,632.173,669.191,1150.087,1113.569,1186.604,2683.340,1877.138,3489.543,3302.743,3151.699,3453.787,3014.208,2549.007,3479.409,11713.600,11380.465,12046.735,20703.600,20045.900,21361.300,48304.400,33791.610,62817.190,59454.600,56736.018,62173.182,54261.400,45884.040,62638.760
19,648.475,629.700,667.250,1152.823,1100.390,1205.256,2693.561,1918.145,3468.978,3304.499,3162.476,3446.523,2999.324,2508.740,3489.908,12322.400,11965.742,12679.058,21905.800,20909.157,22902.443,51182.200,36448.098,65916.302,62791.000,60092.566,65489.434,56993.000,47668.114,66317.886
20,643.189,624.299,662.080,1160.546,1102.728,1218.364,2714.648,1963.118,3466.178,3304.639,3178.500,3430.777,3003.347,2530.278,3476.416,12865.200,12487.440,13242.960,23213.200,22056.391,24370.009,54297.800,39265.906,69329.694,66098.600,63575.979,68621.221,60073.000,50607.906,69538.094
21,639.368,621.478,657.257,1169.819,1115.538,1224.101,2741.175,1996.445,3485.904,3316.238,3188.793,3443.682,3000.127,2512.554,3487.700,13428.200,13052.543,13803.857,24568.600,23428.246,25708.954,57569.800,41929.093,73210.507,69648.200,66972.669,72323.731,63009.000,52766.246,73251.754
22,636.211,619.412,653.010,1175.814,1129.174,1222.454,2747.345,2005.627,3489.062,3325.100,3195.441,3454.758,2997.937,2495.643,3500.232,13998.200,13628.669,14367.731,25870.400,24843.927,26896.873,60447.400,44128.004,76766.796,73159.800,70308.303,76011.297,65961.200,54907.148,77015.252
23,630.556,614.925,646.187,1182.800,1140.453,1225.147,2768.589,2035.998,3501.180,3346.776,3226.490,3467.062,3006.181,2499.235,3513.127,14504.400,14144.941,14863.859,27207.000,26232.618,28181.382,63683.600,46832.351,80534.849,76983.800,74218.283,79749.317,69149.000,57485.761,80812.239
24,625.121,612.988,637.254,1190.003,1150.060,1229.947,2778.478,2047.282,3509.674,3350.421,3225.786,3475.056,2995.813,2471.787,3519.839,15004.600,14713.405,15295.795,28562.800,27603.730,29521.870,66689.800,49139.318,84240.282,80418.400,77427.881,83408.919,71906.600,59326.515,84486.685
25,620.971,608.832,633.110,1196.687,1157.938,1235.436,2800.436,2100.048,3500.823,3371.564,3250.556,3492.572,2978.749,2445.420,3512.078,15526.000,15222.520,15829.480,29920.000,28950.865,30889.135,70017.600,52506.008,87529.192,84297.800,81273.315,87322.285,74476.000,61139.184,87812.816
26,614.323,601.336,627.309,1203.450,1168.363,1238.537,2814.172,2146.036,3482.307,3366.862,3223.030,3510.695,2970.106,2425.351,3514.860,15974.200,15636.647,16311.753,31292.800,30380.502,32205.098,73175.400,55801.989,90548.811,87547.400,83808.698,91286.102,77230.200,63062.910,91397.490
27,609.391,594.807,623.975,1208.830,1178.327,1239.332,2811.478,2174.904,3448.053,3374.275,3229.577,3518.973,2955.834,2393.504,3518.165,16455.400,16061.724,16849.076,32641.600,31818.035,33465.165,75917.400,58727.991,93106.809,91114.800,87208.681,95020.919,79815.200,64628.555,95001.845
28,605.396,592.491,618.302,1212.253,1185.162,1239.345,2806.943,2213.741,3400.145,3383.592,3233.914,3533.270,2947.491,2375.968,3519.014,16953.000,16591.741,17314.259,33946.400,33187.847,34704.953,78602.200,61990.693,95213.707,94750.200,90559.851,98940.549,82537.600,66531.144,98544.056
29,601.181,588.184,614.179,1216.061,1192.542,1239.579,2813.766,2248.719,3378.813,3388.296,3239.831,3536.761,2935.604,2356.136,3515.072,17436.200,17059.330,17813.070,35269.200,34587.165,35951.235,81607.200,65219.062,97995.338,98270.600,93965.533,102575.667,85140.600,68332.164,101949.036
30,597.421,585.022,609.819,1217.876,1196.785,1238.966,2821.592,2280.707,3362.476,3397.396,3246.944,3547.848,2929.143,2353.158,3505.128,17924.600,17552.680,18296.520,36539.800,35907.160,37172.440,84656.400,68427.985,100884.815,101932.200,97419.024,106445.376,87882.600,70599.078,105166.122
