time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
77.010,83.826,83826,1088.512,12.926975,18.792447,39.780351,240.386047
78.010,84.823,84823,1087.336,12.935167,18.956287,39.485439,240.386047
79.010,85.934,85934,1087.634,12.926975,18.907135,39.485439,240.386047
80.010,87.148,87148,1089.211,12.926975,18.841599,39.321599,240.386047
81.010,88.359,88359,1090.711,12.918783,18.743295,39.092223,240.386047
82.011,89.547,89547,1091.895,12.918783,18.661375,38.797311,240.386047
83.011,90.719,90719,1092.857,12.910591,18.595839,38.830079,240.386047
84.011,91.974,91974,1094.785,12.910591,18.497535,38.404095,240.386047
85.011,92.888,92888,1092.657,12.918783,18.628607,39.387135,240.386047
86.011,93.931,93931,1092.079,12.918783,18.694143,39.354367,240.386047
87.011,95.132,95132,1093.330,12.918783,18.628607,38.961151,240.386047
88.011,96.283,96283,1093.983,12.918783,18.579455,38.961151,240.386047
89.012,97.171,97171,1091.666,12.926975,18.759679,39.813119,240.386047
90.012,97.968,97968,1088.390,12.943359,19.038207,41.320447,240.386047
91.012,98.888,98888,1086.538,12.959743,19.300351,41.287679,240.386047
92.012,99.790,99790,1084.532,12.976127,19.431423,41.385983,240.386047
92.239,100.000,100000,1084.143,12.984319,19.447807,41.320447,240.386047
