time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
89.012,91.686,91686,1030.044,13.803519,20.201471,42.434559,239.992831
90.012,92.706,92706,1029.932,13.811711,20.201471,42.270719,239.992831
91.012,93.691,93691,1029.438,13.819903,20.201471,41.877503,239.992831
92.012,94.627,94627,1028.420,13.836287,20.201471,41.713663,239.992831
93.012,95.808,95808,1030.059,13.819903,20.201471,41.484287,239.992831
94.012,96.961,96961,1031.365,13.811711,20.201471,41.254911,239.992831
95.012,97.707,97707,1028.360,13.819903,20.201471,42.369023,239.992831
96.012,98.637,98637,1027.335,13.844479,20.217855,42.139647,239.992831
97.013,99.645,99645,1027.135,13.836287,20.217855,41.943039,239.992831
97.304,100.000,100000,1027.708,13.828095,20.201471,41.844735,239.992831
